,Year,Week,Home,Away,ScoreDiff,RushYdsScoredDiff,PassYdsScoredDiff,PuntAvgScoredDiff,PenAvgScoredDiff,SackAvgScoredDiff,RushYdsAllowedDiff,PassYdsAllowedDiff,PuntAvgAllowedDiff,PenAvgAllowedDiff,SackAvgAllowedDiff,TurnoverDiffDiff,Win
644,2012,5,MIN,TEN,23,54.0,-46.75,-4.5,3.0,1.0,-51.5,-54.75,5.0,2.25,0.5,1.75,1
646,2012,5,KC,BAL,-3,59.75,-64.25,5.25,0.25,-0.25,23.5,-79.75,3.0,-0.25,1.0,-4.25,0
647,2012,5,CAR,SEA,-4,-29.0,121.0,-9.0,0.0,0.0,72.0,46.0,0.25,-1.0,0.25,-1.5,0
648,2012,5,JAC,CHI,-38,7.0,-58.5,4.75,2.5,-3.25,83.0,5.0,4.0,-0.75,-0.25,-1.75,0
649,2012,5,NE,DEN,10,32.5,16.25,1.25,-1.0,-1.0,-1.5,61.0,-1.0,0.25,0.0,3.0,1
650,2012,5,SF,BUF,42,9.0,-50.5,9.75,2.75,-0.5,-57.5,-71.75,1.25,-0.25,2.0,1.75,1
652,2012,5,NYJ,HOU,-6,-51.25,-35.0,-1.0,2.5,-2.0,82.5,14.75,-9.25,-2.75,0.75,-2.25,0
653,2012,6,TEN,PIT,3,-17.349999999999994,-25.400000000000006,4.950000000000003,-0.9500000000000002,-0.6000000000000001,48.94999999999999,94.85000000000002,-2.8500000000000014,0.0,-0.6499999999999999,-1.7,1
655,2012,6,TB,KC,28,-90.6,-36.599999999999994,-5.399999999999999,-0.6999999999999993,-0.1499999999999999,-45.3,137.7,-5.299999999999997,-0.09999999999999964,-0.8500000000000001,3.75,1
656,2012,6,NYJ,IND,26,-15.5,-83.85,-4.649999999999999,-0.4500000000000002,-2.0,38.25,-27.44999999999999,-7.799999999999997,-1.75,-0.44999999999999996,0.4,1
660,2012,6,BAL,DAL,2,49.650000000000006,-15.050000000000011,-2.549999999999997,0.7999999999999998,-0.44999999999999996,10.400000000000006,91.89999999999998,-1.6000000000000014,2.25,0.6000000000000001,2.95,1
661,2012,6,ARI,BUF,-3,-80.19999999999999,3.0,10.0,2.200000000000001,1.4,-68.20000000000002,-49.00000000000003,0.19999999999999574,0.5999999999999996,3.6000000000000005,1.6,0
662,2012,6,SEA,NE,1,-23.200000000000017,-127.0,7.0,0.39999999999999947,1.6,-16.200000000000003,-99.60000000000002,-1.3999999999999986,1.7999999999999998,-0.3999999999999999,-2.4,1
666,2012,6,SD,DEN,-11,2.200000000000003,-57.400000000000006,10.200000000000003,0.20000000000000018,-0.7999999999999998,-45.400000000000006,45.0,0.7999999999999972,-0.5999999999999996,0.7999999999999998,1.6,0
667,2012,7,SF,SEA,7,45.5,40.49999999999997,-0.8333333333333357,0.16666666666666785,-1.333333333333333,22.666666666666686,-41.5,-0.3333333333333428,-1.666666666666666,0.833333333333333,0.6666666666666666,1
668,2012,7,NYG,WAS,4,-44.0,63.83333333333337,2.1666666666666714,-0.16666666666666785,0.4999999999999998,17.33333333333337,-71.5,-2.833333333333343,-0.8333333333333321,-1.333333333333333,-0.33333333333333326,1
669,2012,7,MIN,ARI,7,43.000000000000014,30.333333333333314,-0.6666666666666643,1.3333333333333321,-1.0,-18.0,5.0,3.3333333333333215,0.3333333333333339,-2.5,-0.8333333333333333,1
670,2012,7,CAR,DAL,-5,14.200000000000003,-64.80000000000001,-2.4000000000000057,1.2000000000000002,0.7999999999999998,23.80000000000001,68.0,-3.200000000000003,1.6000000000000005,0.8,0.8,0
672,2012,7,STL,GB,-10,9.833333333333314,-53.83333333333337,2.0,-1.6666666666666679,-0.666666666666667,-9.333333333333371,-19.5,-3.5,-0.16666666666666607,-1.0000000000000004,-0.16666666666666666,0
673,2012,7,HOU,BAL,30,21.99999999999997,-43.50000000000006,1.6666666666666572,-1.0,1.3333333333333333,-48.333333333333314,-47.50000000000006,0.6666666666666785,0.8333333333333339,-1.333333333333333,-0.33333333333333337,1
674,2012,7,IND,CLE,4,2.8666666666666742,38.73333333333335,4.200000000000003,-0.7666666666666657,0.26666666666666705,26.066666666666663,-92.56666666666669,6.700000000000003,1.4333333333333336,0.7666666666666668,-1.7666666666666668,1
675,2012,7,BUF,TEN,-1,77.49999999999999,-48.0,-11.500000000000007,-1.1666666666666679,1.1666666666666667,44.0,-36.0,4.166666666666664,-0.5,-0.8333333333333333,0.33333333333333337,0
676,2012,7,NE,NYJ,3,40.33333333333334,107.83333333333337,-4.166666666666671,0.0,0.16666666666666674,-66.99999999999999,80.83333333333337,5.833333333333336,0.0,0.4999999999999998,1.5,1
677,2012,7,OAK,JAC,3,-20.0,127.19999999999999,-7.200000000000003,-1.4000000000000004,0.20000000000000007,-52.0,13.600000000000023,-5.800000000000004,1.0,-1.0,0.4,1
678,2012,7,CIN,PIT,-7,21.93333333333331,-0.36666666666667425,4.666666666666657,-0.06666666666666643,1.1333333333333329,23.833333333333314,25.366666666666617,-4.600000000000001,-0.033333333333333215,0.833333333333333,-1.5666666666666669,0
679,2012,7,CHI,DET,6,24.0,-97.4,4.200000000000003,-3.0,1.4,-30.799999999999997,-2.1999999999999886,3.200000000000003,-1.4000000000000004,1.1999999999999997,2.0,1
680,2012,8,MIN,TB,-19,31.119047619047592,-42.071428571428555,6.166666666666664,2.428571428571429,1.3571428571428568,22.976190476190467,-101.26190476190476,1.1666666666666643,0.8571428571428577,0.6428571428571428,-0.8095238095238095,0
681,2012,8,GB,JAC,9,1.4285714285714306,121.0952380952381,-3.69047619047619,-0.14285714285714235,2.595238095238095,-37.47619047619048,-32.071428571428555,1.7380952380952337,0.8333333333333321,0.7142857142857135,0.26190476190476186,1
682,2012,8,NYJ,MIA,-21,-6.285714285714278,-25.357142857142833,-0.9761904761904816,0.761904761904761,-1.4047619047619044,70.09523809523809,-70.52380952380952,-2.595238095238088,-2.0238095238095237,0.0,0.5,0
683,2012,8,CLE,SD,1,-21.880952380952394,15.690476190476232,-5.571428571428569,1.1666666666666679,0.7619047619047616,61.880952380952394,8.690476190476147,-5.952380952380942,0.6666666666666679,-1.4285714285714286,0.45238095238095233,1
684,2012,8,TEN,IND,-6,-8.214285714285694,-25.928571428571445,2.333333333333343,-0.16666666666666607,-0.8809523809523807,-5.61904761904762,69.42857142857144,-10.952380952380942,-0.7619047619047628,-0.8095238095238098,0.9285714285714286,0
685,2012,8,STL,NE,-38,-41.571428571428584,-77.85714285714283,5.285714285714285,-0.571428571428573,0.8571428571428568,10.0,-63.14285714285717,-2.714285714285708,1.2857142857142847,0.8571428571428568,-1.5714285714285714,0
686,2012,8,PHI,ATL,-13,37.666666666666686,-19.833333333333314,-4.6666666666666785,0.8333333333333339,-1.4999999999999998,-36.99999999999997,0.8333333333333144,-1.8333333333333215,1.3333333333333321,0.6666666666666665,-3.166666666666667,0
687,2012,8,CHI,CAR,1,18.0,-15.5,1.3333333333333215,-1.5,1.166666666666667,-48.999999999999986,-17.833333333333314,0.6666666666666785,0.3333333333333339,0.6666666666666665,3.0,1
688,2012,8,DET,SEA,4,-32.21428571428572,144.97619047619045,-6.714285714285715,1.6428571428571423,-0.047619047619047894,24.0,-1.7857142857142776,-1.1666666666666643,-0.4285714285714288,-0.16666666666666674,-0.5476190476190477,1
689,2012,8,PIT,WAS,15,-87.95238095238096,53.285714285714306,1.4761904761904816,1.6428571428571423,0.11904761904761907,7.214285714285708,-143.59523809523813,-3.1666666666666643,0.35714285714285765,-0.11904761904761907,-0.8333333333333334,1
